Column 1: Date 
Column 2: heure 
Column 3: NMRe (m) 
Column 4: Maree (m) 
Column 5: Surcote (m) 
Column 6: Hs(vagues) (m) 
Column 7: Tp(vagues) (s) 
Column 8: Dp(vagues) (°) 
Column 9: U(vent) (m) 
Column 10: Dir(vent) (°) 
Column 11: Qualite(surcote) 
Column 12: Qualite(vagues) 
Column 13: Qualite(vent) 
09/01/1924 02:30 0.91 0.31 0.84 8.10 14.61 248.91 29.07 285.30 -99 -99 -99
09/01/1924 02:40 0.91 0.49 0.84 8.12 14.65 249.28 29.12 283.64 -99 -99 -99
09/01/1924 02:50 0.91 0.66 0.84 8.14 14.72 249.76 29.17 282.10 -99 -99 -99
09/01/1924 03:00 0.91 0.83 0.83 8.16 14.78 250.24 29.21 280.23 -99 -99 -99
09/01/1924 03:10 0.91 0.99 0.82 8.18 14.88 251.02 29.28 278.54 -99 -99 -99
09/01/1924 03:20 0.91 1.15 0.82 8.20 14.98 252.53 29.34 276.90 -99 -99 -99
09/01/1924 03:30 0.91 1.29 0.83 8.22 15.04 253.63 29.36 274.81 -99 -99 -99
09/01/1924 03:40 0.91 1.43 0.83 8.24 15.14 254.47 29.40 272.41 -99 -99 -99
09/01/1924 03:50 0.91 1.55 0.84 8.25 15.22 255.33 29.42 271.12 -99 -99 -99
09/01/1924 04:00 0.91 1.68 0.84 8.27 15.28 256.15 29.45 270.61 -99 -99 -99
09/01/1924 04:10 0.91 1.77 0.84 8.30 15.31 257.23 29.45 269.19 -99 -99 -99
09/01/1924 04:20 0.91 1.87 0.84 8.31 15.34 258.01 29.47 268.82 -99 -99 -99
09/01/1924 04:30 0.91 1.95 0.84 8.33 15.37 258.70 29.46 268.59 -99 -99 -99
09/01/1924 04:40 0.91 2.02 0.84 8.35 15.36 259.40 29.45 269.46 -99 -99 -99
09/01/1924 04:50 0.91 2.07 0.84 8.37 15.35 259.90 29.43 270.45 -99 -99 -99
09/01/1924 05:00 0.91 2.12 0.84 8.38 15.34 260.40 29.38 271.32 -99 -99 -99
09/01/1924 05:10 0.91 2.15 0.84 8.41 15.31 260.36 29.35 272.56 -99 -99 -99
09/01/1924 05:20 0.91 2.17 0.84 8.42 15.25 259.88 29.32 274.36 -99 -99 -99
09/01/1924 05:30 0.91 2.18 0.84 8.44 15.17 259.43 29.34 276.27 -99 -99 -99
09/01/1924 05:40 0.91 2.17 0.84 8.44 15.09 259.39 29.39 278.80 -99 -99 -99
09/01/1924 05:50 0.91 2.14 0.84 8.47 14.97 259.26 29.40 280.89 -99 -99 -99
09/01/1924 06:00 0.91 2.11 0.84 8.48 14.88 259.46 29.40 283.11 -99 -99 -99
09/01/1924 06:10 0.91 2.06 0.84 8.49 14.81 259.74 29.40 285.59 -99 -99 -99
09/01/1924 06:20 0.91 2.00 0.84 8.50 14.73 260.02 29.31 287.94 -99 -99 -99
09/01/1924 06:30 0.91 1.92 0.84 8.52 14.66 260.40 29.21 290.27 -99 -99 -99
09/01/1924 06:40 0.91 1.83 0.83 8.53 14.60 260.58 29.05 292.13 -99 -99 -99
09/01/1924 06:50 0.91 1.72 0.83 8.54 14.57 260.82 28.87 293.90 -99 -99 -99
09/01/1924 07:00 0.91 1.61 0.82 8.56 14.56 260.56 28.72 295.25 -99 -99 -99
09/01/1924 07:10 0.91 1.48 0.82 8.56 14.55 260.53 28.60 295.95 -99 -99 -99
09/01/1924 07:20 0.91 1.34 0.82 8.58 14.57 260.04 28.42 295.53 -99 -99 -99
09/01/1924 07:30 0.91 1.19 0.83 8.59 14.57 259.36 28.29 294.83 -99 -99 -99
09/01/1924 07:40 0.91 1.02 0.83 8.60 14.56 259.16 28.17 294.03 -99 -99 -99
09/01/1924 07:50 0.91 0.85 0.83 8.60 14.53 258.76 28.09 293.41 -99 -99 -99
09/01/1924 08:00 0.91 0.67 0.83 8.61 14.45 258.83 27.99 292.32 -99 -99 -99
09/01/1924 08:10 0.91 0.48 0.83 8.61 14.42 258.50 27.84 291.79 -99 -99 -99
09/01/1924 08:20 0.91 0.29 0.83 8.62 14.34 258.34 27.68 291.92 -99 -99 -99
09/01/1924 08:30 0.91 0.10 0.82 8.62 14.30 258.85 27.51 291.61 -99 -99 -99
